yer,4,3
yet,4,5
snout,1,1
leaders,,1,1
spectacles,1,1
unable,1,1
chimney,,1,2
DON'T,1,1
had,59,93
school,',1,1
foot!,1,0
serpent!',1,1
spread,3,2
YOURS:,1,1
cart-horse,,1,1
easy,2,1
words:--,2,2
back-somersault,1,1
hookah,1,2
much,',5,3
has,6,6
foot,,2,2
oneself,1,1
gave,11,9
'allow,1,1
lower,',1,1
did!',1,1
"Uglification,"',1,1
'Can't,1,1
boxed,1,1
fact,,3,4
ALL.,1,0
tremble.,1,0
Alice,103,101
possibly,3,3
ye;,1,1
dreamy,1,1
afore,1,1
sleep",1,1
sleep,,1,1
way:--,1,1
shoulder,2,2
brought,3,3
appearing,1,1
seaside,1,1
pencil,1,1
saucepans,,1,1
any.,1,0
'Consider,1,1
Turn,0,1
officer,1,1
snappishly.,1,0
night,1,1
hung,1,1
moral,1,1
Stole,1,1
towards,1,1
Now,,0,1
sort,',1,1
Derision.',1,1
right,8,15
old,9,13
deal,3,8
people,9,10
backs,1,1
'Don't,1,4
COULD!,1,0
crown,2,2
somehow,1,1
dead,3,3
prizes.,1,0
know.,3,0
Footman,,1,2
Uglification,,1,1
Footman.,1,0
'three,1,1
dear,4,6
meaning.,1,0
bore,1,1
goldfish,2,2
'Sure,,3,3
creep,1,1
HE,3,3
denies,1,1
farm-yard--while,1,1
friend,2,2
thoughts,2,2
for,96,58
bottom,1,1
ear,2,2
opposite,1,1
dressed,,1,1
cats?',1,1
everything,8,7
uncomfortable,,1,1
Let,0,2
pie--',1,1
serpents,2,2
provoking,1,1
beating,1,1
'Have,2,2
time.),1,1
He,7,11
pinched,2,2
silent,,2,1
knew,8,9
sort!',1,1
'chop,1,1
dear,',1,1
burn,2,2
'because,3,3
hat,',1,1
lamps,1,1
mad?',2,2
right!',1,1
losing,1,1
THEIR,1,1
bowing,1,1
'living,1,1
permitted,1,1
First,1,2
wept,1,1
best,,2,2
'it,5,4
'is,1,1
Indeed,,0,1
serpent,,2,2
table.,2,0
choke,1,1
little,',1,1
serpent;,1,1
'if,7,5
despair,1,1
couple?',1,1
'And,7,13
'in,3,3
Still,0,1
'jury-men',1,1
yet.',2,2
hate--C,1,1
elbow.',1,1
shrill,,1,2
ladder?--Why,,1,1
for,,2,1
wasting,2,2
eagerly:,1,1
low,,3,6
