Title,Annual Growth,Life Expectancy Male,Life Expectancy Female,Life Expectancy Average,Dev Status,Birth Per Hour,Death Per Hour,Migration Per Hour,Population
Georgia,-0.565,69.4,76.5,73,developed,6.130958904,5.554748858,-3.424657534,4352244
Belgium,0.564,77,82.5,79.8,developed,13.87073059,11.63655251,4.566210046,10712066
Haiti,1.337,59.9,62,61,least_developed,30.43082192,10.20292237,-5.479383562,9993247
Kazakhstan,1.096,60.2,71.5,65.8,developing,38.16363014,18.81267123,0.159589041,16026367
Liberia,4.543,53.5,55.4,54.4,least_developed,16.60876712,4.928789954,6.849315068,3994122
Kyrgyzstan,1.125,62.7,71,66.7,developing,14.22707763,4.559611872,-3.004406393,5334223
Netherlands,0.374,78.1,82.2,80.2,developed,21.30808219,15.42851598,1.141689498,16612988
Cape Verde,0.955,69.4,77.4,73.5,least_developed,1.210228311,0.287968037,-0.394497717,495999
Portugal,0.249,75.3,81.8,78.6,developed,11.81691781,12.23,3.424703196,10675572
Denmark,0.477,76,80.5,78.3,developed,7.360844749,6.438881279,2.062009132,5550142
Philippines,1.727,64.5,71.3,67.8,developing,264.6130822,60.32687215,-28.15901826,93260798
Senegal,2.685,57.2,59.1,58.2,least_developed,51.36050228,12.66958904,-3.032922374,12433728
Moldova,-1.057,64.4,72.1,68.2,developing,5.145570776,5.653401826,-3.921187215,3572885
Latvia,-0.469,66.9,77.5,72.3,developed,2.655273973,3.647694064,-0.228310502,2252060
Croatia,-0.175,72.5,79.5,76,developed,4.818082192,5.928949772,0.228310502,4403330
Chad,2.748,47.2,49.9,48.5,least_developed,55.06776256,20.44890411,-1.712328767,11227208
Switzerland,0.661,79.3,84.1,81.8,developed,8.547899543,7.029452055,4.173584475,7664318
Melanesia,2.216,61.1,65.4,63.1,developing,28.60296804,7.144497717,-0.510684932,8747558
Bulgaria,-0.643,69.2,76.4,72.7,developed,8.64913242,13.09623288,-1.141552511,7494332
Jamaica,0.438,69.6,75,72.2,developing,5.919063927,2.279817352,-2.283105023,2741052
Albania,0.394,73.4,79.7,76.4,developed,4.680159817,2.160228311,-1.093356164,3204284
Angola,2.921,48.2,51,49.6,least_developed,88.36452055,31.03835616,1.872260274,19081912
Brunei,1.88,75.3,80,77.5,developing,0.874246575,0.136872146,0.079908676,398920
Lebanon,0.846,69.9,74.2,72,developing,7.534703196,3.249840183,-0.285388128,4227597
Malaysia,1.69,71.2,75.7,73.4,developing,65.12664384,14.52659817,1.929086758,28401017
Mozambique,2.377,47.6,49.9,48.8,least_developed,99.19894977,38.90780822,-0.456621005,23390765
Greece,0.313,77,82,79.5,developed,13.34986301,12.84237443,3.516073059,11359346
Nicaragua,1.298,69.9,76.1,73,developing,15.88210046,3.0093379,-4.566210046,5788163
Canada,1.046,78.2,82.8,80.5,developed,42.34664384,27.85495434,25.07863014,34016593
Afghanistan,2.577,47.2,47.5,47.3,least_developed,152.0100457,56.6206621,-8.699315068,31411743
Qatar,15.238,78.1,77.3,77.9,developing,2.075068493,0.232214612,19.56826484,1758793
Peru,1.072,70.6,75.9,73.2,developing,68.75924658,17.55509132,-16.55248858,29076512
Turkmenistan,1.202,60.6,68.9,64.6,developing,12.29009132,4.329931507,-1.244269406,5041995
Trinidad and Tobago,0.393,65.8,72.9,69.4,developing,2.258515982,1.210913242,-0.452191781,1341465
Sudan,2.513,58.6,62,60.3,least_developed,158.1069178,43.80050228,3.082191781,43551941
Guinea,1.978,50.9,54,52.4,least_developed,43.35315068,15.03940639,-6.849315068,9981590
Panama,1.65,73,78.2,75.5,developing,8.02760274,1.920319635,0.251141553,3516820
Nepal,1.872,66.7,68,67.4,least_developed,83.56705479,20.1556621,-2.283105023,29959364
Luxembourg,2.086,76.7,82,79.4,developed,0.62630137,0.448630137,0.969611872,507448
Comoros,2.669,58.3,61,59.7,least_developed,3.065844749,0.742191781,-0.228310502,734750
